id,date,amount,currency,counterparty,description,account
16102f3d-b869-476a-9eb0-5aa25eeeaef8,2026-10-20,361703.95,RUB,ПАО Гамма,Возврат поставщику,40802810
863d5d80-9b0d-4181-b763-04443bbabc08,2026-02-19,95285.92,RUB,ИП Петров,Заработная плата,40802810
c19cb841-2cc8-4bfc-bc49-590da134a529,2026-01-28,233565.63,RUB,ИП Иванов,Оплата по договору,40802810
90ae03d4-1e1f-4f22-8b74-910e7b402220,2026-02-25,-364133.97,RUB,ПАО Гамма,Возврат поставщику,40702810
5bffadfb-28a8-4bbc-a3d1-c65b7d4389ce,2026-05-23,210998.63,RUB,ИП Иванов,Возврат поставщику,40702810
3b503a80-cfa6-4bd4-8452-eb792d18d820,2026-10-04,25389.11,RUB,ИП Иванов,Услуги связи,40702810
508d2abc-271b-4bb7-ae84-c61d3ff7c8e8,2026-09-04,-203266.39,RUB,ЗАО Сигма,Оплата по договору,40702810
7b8676ff-c958-41f8-821a-f059bb486074,2026-07-19,-189548.66,RUB,ООР Омега,Командировочные расходы,40802810
c6c4b2dd-dbfb-4abd-8c71-6e62bf6e7b49,2026-10-12,348326.09,RUB,ООР Омега,Закупка материалов,40702810
6542e060-a9a9-4507-98e2-b387a4b4379a,2026-01-30,148424.24,RUB,ООО Ромашка,Налоговый платёж,40702810
2fab21b1-af0a-41ac-b03f-28080a66e8d9,2026-09-02,25166.15,RUB,АО Бета,Оплата по договору,40702810
6d32d498-597e-49b6-bda6-5bc802f71f3c,2026-02-05,425686.14,RUB,ПАО Гамма,Заработная плата,40702810
6d120283-4132-4be6-a587-ebb7f3c2de66,2026-10-19,-470803.9,RUB,ООО Ромашка,Аренда помещения,40802810
5f81559d-9da6-4044-ae1d-152f081e5b7d,2026-10-17,328720.84,RUB,ООО Дельта,Услуги связи,40702810
d50fb9ce-e89a-4fab-8c02-c0099ea31c87,2026-07-22,-119419.11,RUB,ООО Дельта,Возврат поставщику,40702810
b8e21a28-b8c3-447e-95d2-e3ab814e7630,2026-02-07,-464516.26,RUB,ИП Иванов,Аренда помещения,40702810
1ef51ff5-bad0-48ab-b657-84df1f1ab322,2026-03-09,252991.76,RUB,ИП Иванов,Услуги связи,40702810
31661bc9-ecee-40fa-b389-01651ae6b775,2026-08-13,142565.2,RUB,ООО Дельта,Оплата по договору,40702810
a2139a82-10cb-4f5e-8a74-cb1e55dac03e,2026-02-23,465884.84,RUB,АО Бета,Командировочные расходы,40702810
30e646bb-e61d-4a98-bc81-a76919cba6e0,2026-10-11,-444867.38,RUB,ООО Дельта,Услуги связи,40702810
b8e671c2-7fbf-4b22-9cb2-043f5b4a2483,2026-11-21,101878.3,RUB,ООР Омега,Командировочные расходы,40702810
2afa3953-61b1-485b-acd6-bfd8585dc266,2026-08-05,46240.0,RUB,ООО Ромашка,Оплата по договору,40702810
715c0b5c-b402-4df7-a231-faf38e0540c7,2026-11-23,385582.5,RUB,АО Бета,Возврат поставщику,40802810
39c2845d-6f00-45c8-a335-77a426877906,2026-02-27,-280497.34,RUB,АО Бета,Оплата по договору,40702810
4ed2e71e-6113-4152-8e9e-fc17c5157e30,2026-03-17,291296.53,RUB,ООО Ромашка,Командировочные расходы,40702810
bdc2ed3c-7382-4269-8473-56d8e4a65546,2026-01-21,449500.85,RUB,ПАО Гамма,Услуги связи,40702810
991d18f7-1a7e-4c90-8555-487bbb10ff7e,2026-10-14,176903.95,RUB,ЗАО Сигма,Закупка материалов,40702810
bf664f96-0e72-48a5-839f-fb96da879e74,2026-04-01,432316.39,RUB,ООО Ромашка,Закупка материалов,40702810
104792e5-02e1-4b4d-ba83-4098d9029e24,2026-07-30,391215.01,RUB,ПАО Гамма,Командировочные расходы,40702810
026afe75-9313-4c80-b0f4-e65a3fdc9a3f,2026-02-25,-393708.52,RUB,ООО Ромашка,Возврат поставщику,40702810
368ed7e2-5eb4-4c0e-9245-7e2862028def,2026-08-24,-99866.46,RUB,ПАО Гамма,Услуги связи,40702810
7a2b73cd-345d-488d-8af7-0c74740e3eec,2026-07-24,-330050.59,RUB,ИП Иванов,Командировочные расходы,40702810
4ba41581-accc-480e-aa9b-cf30fbf5df3e,2026-07-24,320776.72,RUB,ИП Петров,Оплата по договору,40702810
94a28033-b8a8-45f3-98ad-59cb54c0def3,2026-05-14,-438531.5,RUB,ООО Дельта,Оплата по договору,40702810
30fbb060-4aa5-49fd-ab51-1a9f1d570081,2026-06-26,298325.97,RUB,ИП Петров,Заработная плата,40702810
126ea952-1454-4cf9-91a4-ac11502af7cb,2026-10-23,-192659.2,RUB,ООО Ромашка,Заработная плата,40702810
0964cfd3-1469-4119-9db1-328e314bc3bf,2026-10-03,260008.18,RUB,ПАО Гамма,Налоговый платёж,40802810
11aa47ed-7688-42fe-b76b-0f3f40a7b153,2026-12-07,35079.91,RUB,ИП Петров,Аренда помещения,40702810
79fb1b59-71bf-467e-9104-c3b04ab9f6a4,2026-12-08,253610.54,RUB,ЗАО Сигма,Командировочные расходы,40702810
6220afd9-c408-4fa1-ad86-db8dd4edbe55,2026-12-07,96000.86,RUB,АО Бета,Командировочные расходы,40802810
08f54d6e-ee3d-4a24-b78a-59a97aadef3d,2026-01-01,-274013.81,RUB,ПАО Гамма,Заработная плата,40702810
650537bc-fac3-4e26-ae39-6d9d4d2cf91d,2026-08-15,232547.6,RUB,ООР Омега,Закупка материалов,40702810
553fe238-e4a9-43b4-ab49-8d38f788a909,2026-12-06,141964.82,RUB,ИП Петров,Аренда помещения,40702810
e9fb0810-7d4d-4c40-beb4-66826d78c2c5,2026-04-26,336430.56,RUB,АО Бета,Оплата по договору,40702810
71a7e3be-c95e-44bf-a65f-917260d1706d,2026-09-01,122496.79,RUB,ИП Иванов,Возврат поставщику,40802810
7597d6f5-551d-4779-8acb-08bc602b5876,2026-10-22,-443079.84,RUB,ЗАО Сигма,Возврат поставщику,40802810
807a082f-b51d-4b3d-bad3-74ae7ea704c8,2026-12-02,122067.82,RUB,ИП Иванов,Заработная плата,40702810
267ed11a-ac72-409c-a8b5-d08f9454d946,2026-12-23,88025.75,RUB,ООО Ромашка,Услуги связи,40702810
1e9c03c8-7fc5-4a0e-88ef-739ed9ca4ffe,2026-08-26,228285.27,RUB,ИП Петров,Возврат поставщику,40802810
2f944b64-552e-4f08-b80e-a60439d90f2e,2026-10-08,415301.53,RUB,АО Бета,Возврат поставщику,40802810
65ea8ce3-af99-4d0d-ab99-cd91dadf9956,2026-05-07,129669.86,RUB,ООО Дельта,Возврат поставщику,40702810
ced476dd-0340-46f2-95d7-f7b44e3d5183,2026-02-09,137371.26,RUB,ПАО Гамма,Командировочные расходы,40702810
41c147f7-ba97-406d-a19e-61a4655bd115,2026-10-04,-159922.81,RUB,АО Бета,Услуги связи,40802810
30998334-0ebc-4fa0-91d5-48197d57c37d,2026-12-28,-347005.51,RUB,ЗАО Сигма,Заработная плата,40702810
36da00bb-ec3c-4fe7-b37e-3fdef51f815e,2026-08-01,-271351.31,RUB,ЗАО Сигма,Заработная плата,40702810
b356673b-6fa9-4d8e-99d3-7a420fefb321,2026-10-22,-428380.34,RUB,ООО Ромашка,Налоговый платёж,40702810
9ef70fc3-1dbd-48d5-8f9f-8671dfc718e9,2026-08-03,376762.22,RUB,ПАО Гамма,Возврат поставщику,40702810
f01b667f-e03a-4e87-b7ad-efbaf326c189,2026-09-06,-136540.36,RUB,ИП Петров,Заработная плата,40702810
0d93eb0a-6740-4d49-9b0c-5e5c0ce9d3d7,2026-03-07,420268.78,RUB,ООО Ромашка,Заработная плата,40702810
22829720-0367-4f28-b288-e22c90ccab9e,2026-08-08,-42065.34,RUB,ООР Омега,Закупка материалов,40702810
59d228bd-b830-48a9-a70f-c8d800dc17b5,2026-06-17,-130152.14,RUB,ИП Петров,Налоговый платёж,40802810
e1f21371-f881-4122-a554-faeaef98046a,2026-08-04,-139200.48,RUB,ИП Иванов,Возврат поставщику,40702810
969ed613-f64d-4be8-80c2-3eb5c576f4ed,2026-01-27,374537.23,RUB,ИП Петров,Услуги связи,40702810
fe292fcb-61c8-45fd-ada7-d3572f0dca1a,2026-11-30,-390638.4,RUB,ООО Ромашка,Услуги связи,40702810
bc7aeff8-20ab-4f7c-b657-2711570b0bc4,2026-11-15,-419630.5,RUB,АО Бета,Возврат поставщику,40702810
c303f5cd-bfc9-4aa4-abfd-b7c709e9e695,2026-04-22,282028.39,RUB,ООО Дельта,Налоговый платёж,40702810
779e7c47-8010-4dfa-94e0-280c23df5aaf,2026-02-28,302985.76,RUB,АО Бета,Командировочные расходы,40702810
8469acf1-d7b2-4c9b-b15f-ed1ffed726c9,2026-06-09,289384.5,RUB,ЗАО Сигма,Заработная плата,40702810
0ebff169-f0c0-4629-8a77-fac7542b9c55,2026-12-20,38090.64,RUB,ПАО Гамма,Аренда помещения,40702810
a20a8ae1-1d37-473d-b415-e135e192d99b,2026-11-04,425161.59,RUB,ООО Ромашка,Налоговый платёж,40802810
376a3898-a2fb-497f-8b70-3efa3dc1f122,2026-02-05,330794.52,RUB,ИП Петров,Оплата по договору,40802810
2ef73ab0-fe69-4845-8274-a68c387c6314,2026-02-24,411183.23,RUB,ИП Петров,Возврат поставщику,40702810
c81cfcfa-f196-4c69-9a79-885a750732d1,2026-09-25,217800.02,RUB,ООО Дельта,Возврат поставщику,40802810
6fae1f03-c37d-41ca-aa1d-396705caa213,2026-10-31,-217843.69,RUB,ПАО Гамма,Аренда помещения,40702810
dde68c21-b2b1-43e2-98dc-550d4cf6812b,2026-05-05,440827.43,RUB,ЗАО Сигма,Налоговый платёж,40702810
a248f4ef-ac8a-4406-aca0-5d207fc065ec,2026-06-16,-247203.82,RUB,ПАО Гамма,Налоговый платёж,40702810
7a7ecd49-323c-4301-bb8e-a47cc5f6374e,2026-11-02,170235.39,RUB,ООО Дельта,Оплата по договору,40702810
48f44a6d-d2c4-456c-bd4f-d9fee3d4f989,2026-07-28,42897.92,RUB,ПАО Гамма,Возврат поставщику,40802810
f86780ce-1096-433d-a42b-5319e50a9892,2026-01-09,-224142.46,RUB,ПАО Гамма,Заработная плата,40702810
8c3d4e7f-d307-4969-86e0-402212d15f3b,2026-10-25,-153172.39,RUB,ИП Петров,Заработная плата,40702810
9335320b-637f-4f7f-a0ad-d2fc4c92f528,2026-08-21,-175970.08,RUB,ООО Дельта,Услуги связи,40702810
4906a7b9-eeaf-472c-a850-eb36f96db381,2026-06-11,-360670.04,RUB,АО Бета,Услуги связи,40702810
34eaec73-d473-4506-b405-1eb4742ee946,2026-05-22,369328.47,RUB,ООО Дельта,Аренда помещения,40702810
7232e4d7-5b6d-42ae-b882-6ba3bcde9856,2026-07-04,-148193.61,RUB,ООО Ромашка,Закупка материалов,40702810
0948348b-7fd0-4c36-808c-00e4f23cc1f6,2026-01-28,22853.3,RUB,АО Бета,Возврат поставщику,40702810
c7d619e6-a246-4c93-bef4-b48c3cdb10f3,2026-10-21,-436372.6,RUB,ООР Омега,Возврат поставщику,40702810
7a6effb6-5646-4980-bc58-fde18c446033,2026-01-27,-92263.4,RUB,ООР Омега,Аренда помещения,40702810
c2d5eddb-cf70-47a1-b457-1bc679206639,2026-02-07,200413.65,RUB,ООО Ромашка,Закупка материалов,40702810
c2fbfedc-a43d-46fb-839d-bdf0b7a9b8c7,2026-06-05,-405589.92,RUB,ПАО Гамма,Аренда помещения,40802810
278c1eaf-4e7f-49d9-acf2-1db92dd3ef9f,2026-11-13,-303198.19,RUB,ЗАО Сигма,Возврат поставщику,40802810
3c66a3fa-51d2-4809-b6db-b814a3423a08,2026-10-29,148746.83,RUB,ООО Дельта,Оплата по договору,40702810
9ad96b92-491e-4320-96e7-9b9511cb5339,2026-04-17,473800.34,RUB,ООО Дельта,Аренда помещения,40702810
8e1dce32-36fd-490a-b175-11a9f9cc9494,2026-10-10,-120008.6,RUB,ООО Ромашка,Заработная плата,40802810
6d8c4faf-b6b1-4779-9252-f039f5116960,2026-08-29,-344716.63,RUB,ПАО Гамма,Командировочные расходы,40702810
336a19bc-d7ce-405a-8ca3-25dfe0b6cd69,2026-08-21,-351523.48,RUB,ПАО Гамма,Командировочные расходы,40702810
3e8315fb-0fd8-460c-bfbc-4a2df7b9706c,2026-10-06,-212626.97,RUB,АО Бета,Командировочные расходы,40702810
e78b51d9-de62-437a-8813-6afff20069e1,2026-03-26,35797.78,RUB,ООО Дельта,Возврат поставщику,40702810
e9f1ad30-fb89-4794-8bee-f4f3c495edf7,2026-06-05,234402.12,RUB,ООО Дельта,Возврат поставщику,40802810
31e68f2d-2ba1-40a8-9c73-9108a3bde5dc,2026-01-21,40312.88,RUB,ИП Петров,Командировочные расходы,40702810
7cf2c240-99a2-4235-b764-abcf945e6328,2026-12-12,45754.31,RUB,ООО Ромашка,Командировочные расходы,40702810
7092f2ca-b740-4d95-8adf-d3410c7a6ab0,2026-03-31,381578.19,RUB,ООР Омега,Командировочные расходы,40702810
fec082fc-67e9-4f70-9b54-58a7ebd65839,2026-08-12,498473.04,RUB,ООР Омега,Аренда помещения,40802810
cf5afa4b-8d24-4939-8ffe-3978a65f3f0c,2026-06-20,-174045.73,RUB,ИП Иванов,Закупка материалов,40702810
21e3990f-c424-470d-a12a-1b270ddb828f,2026-09-11,-205881.38,RUB,ЗАО Сигма,Оплата по договору,40802810
8abaf29e-3b24-4b60-b40a-392452660ca2,2026-05-10,-44121.09,RUB,ЗАО Сигма,Оплата по договору,40802810
c486148c-5ce6-41f0-90ca-f8d2a1f28788,2026-04-07,206682.46,RUB,ООР Омега,Возврат поставщику,40702810
8002dfb4-f36a-462a-b13e-c04780964140,2026-10-09,-101858.76,RUB,ООО Дельта,Возврат поставщику,40802810
2f14e091-55b8-4ae4-a39f-7f2a11129d99,2026-11-19,60800.9,RUB,ПАО Гамма,Закупка материалов,40702810
7122f0b3-6c18-492f-a09b-270708ed30bb,2026-10-10,275464.42,RUB,ПАО Гамма,Аренда помещения,40802810
fccf7e82-f8c2-4e34-bf44-dc458bdf034b,2026-11-28,473535.67,RUB,ООР Омега,Командировочные расходы,40702810
b15a4605-d7ae-4c44-a6b5-e52dcb09a664,2026-09-05,207803.62,RUB,ПАО Гамма,Возврат поставщику,40702810
84c759c9-06ea-4cc2-8167-f2d08c48ac16,2026-11-03,191854.65,RUB,АО Бета,Аренда помещения,40702810
cd799b12-5fa6-4cab-b819-0cef578ada99,2026-08-01,-386360.3,RUB,ООО Дельта,Оплата по договору,40702810
1ee958a2-ec53-4cb9-90b7-5fc87b8e1443,2026-10-28,363052.89,RUB,ООР Омега,Закупка материалов,40802810
2e013887-8e62-4262-92b1-5819056209bb,2026-06-26,-269336.43,RUB,ЗАО Сигма,Возврат поставщику,40702810
82452ed7-d89b-4d88-a1f0-5852f0496fba,2026-12-24,-434813.88,RUB,ЗАО Сигма,Услуги связи,40802810
23009ddd-48cc-441f-b0c5-1b4cfbd55375,2026-08-31,21919.28,RUB,ЗАО Сигма,Заработная плата,40702810
6035f188-21cd-4cda-a5df-dfa052831729,2026-01-19,-247714.79,RUB,ИП Петров,Аренда помещения,40802810
ae538b61-9fd0-4f98-9c54-803bbff301ab,2026-08-22,-49945.88,RUB,АО Бета,Заработная плата,40702810
00c46ff2-7aea-4e59-ab8a-7b7fcb6b8592,2026-05-16,-37506.64,RUB,ЗАО Сигма,Аренда помещения,40702810
2b7329ae-c5c3-4b94-a4c2-b70d2a74ba28,2026-10-01,-426185.43,RUB,ИП Петров,Возврат поставщику,40702810
e6018915-f521-4451-9fca-4759b9bdb9e2,2026-05-01,308767.98,RUB,ООО Дельта,Услуги связи,40702810
95d623b2-a792-4bcd-8d03-db26222a4100,2026-02-20,217042.34,RUB,ИП Иванов,Возврат поставщику,40702810
7bc9afa4-3a95-4ea0-a89b-d6f5ec817200,2026-01-15,-347031.18,RUB,ООО Ромашка,Командировочные расходы,40702810
3022554c-3204-4327-bfda-d3bee6b860db,2026-03-16,-187483.06,RUB,ЗАО Сигма,Закупка материалов,40702810
23fe7615-b4e2-4330-8823-03a0e7de72ba,2026-11-09,87617.17,RUB,ПАО Гамма,Возврат поставщику,40702810
7be9de48-f7e4-4744-8737-8f3783538275,2026-11-23,-116171.0,RUB,ООО Дельта,Оплата по договору,40802810
c96c4ca5-2aa7-4f90-aa11-a73495c232a7,2026-12-13,450614.59,RUB,ИП Иванов,Возврат поставщику,40702810
ac1649be-56c4-4414-8ca6-2a3b3351f788,2026-06-03,493827.08,RUB,ЗАО Сигма,Командировочные расходы,40802810
b1527883-b5cf-408b-be4a-56d8a666b1ba,2026-04-12,422667.43,RUB,ООР Омега,Аренда помещения,40702810
add0d4a1-0f60-46ee-b27c-9c2666ac12d0,2026-07-03,190744.01,RUB,ООО Дельта,Оплата по договору,40802810
a50d89a6-bb41-41de-a97d-0b35037508ff,2026-10-17,137312.74,RUB,ООО Ромашка,Возврат поставщику,40702810
02167bb0-3124-47e9-bfe4-7bbc4b228817,2026-04-28,387892.92,RUB,ИП Петров,Услуги связи,40702810
22757b42-bd37-4991-89be-ba0fb0a7e04a,2026-12-14,310483.49,RUB,АО Бета,Аренда помещения,40702810
040582dc-7244-4423-bcef-48c9be4cfceb,2026-08-14,-154535.55,RUB,ИП Петров,Закупка материалов,40702810
872fd712-b9a6-4d78-a1e1-9053ed656317,2026-06-17,454822.94,RUB,АО Бета,Услуги связи,40702810
8073c8f4-65ad-4438-a2bd-f2dd46bc4fc2,2026-07-07,393277.75,RUB,ООО Дельта,Закупка материалов,40702810
5c48601b-a105-41ea-9739-691dc4f5966a,2026-09-04,457033.07,RUB,ООО Дельта,Налоговый платёж,40702810
b4a0132a-6d37-43b8-985d-080f67047788,2026-02-08,-234218.86,RUB,ПАО Гамма,Заработная плата,40702810
e676d16a-4cd9-4ef3-b340-85bfef963d70,2026-07-22,-45242.41,RUB,ИП Иванов,Возврат поставщику,40702810
556a09b0-489b-496d-a501-ca656a0a4a39,2026-12-11,-336446.91,RUB,ЗАО Сигма,Налоговый платёж,40702810
76c694da-460b-4256-a7f2-91168afa6a92,2026-08-30,-337450.79,RUB,ИП Петров,Услуги связи,40702810
2301947e-4903-4c5e-a1e9-c43f3b03a518,2026-08-26,317738.42,RUB,ООО Дельта,Заработная плата,40702810
73681837-a97f-4579-b9c2-5ce396fec876,2026-01-20,-69974.53,RUB,ООР Омега,Аренда помещения,40702810
4a7297e5-21d3-437d-96b4-bca284c5b3ea,2026-10-03,-117476.54,RUB,ООР Омега,Налоговый платёж,40802810
cad2a6f0-c231-4ffd-b7be-03c7a7b3b3b8,2026-03-21,293711.44,RUB,ИП Иванов,Возврат поставщику,40802810
28e70952-45a3-4b45-9d91-50e07727d200,2026-05-24,-469532.63,RUB,ИП Петров,Услуги связи,40802810
afa33445-a6d0-4101-a16c-739484103036,2026-05-01,222403.46,RUB,ИП Иванов,Налоговый платёж,40702810
f6eef049-d777-42c4-89e1-d8ea93aad0fb,2026-05-22,-30368.99,RUB,ИП Иванов,Возврат поставщику,40702810
ca80e3ab-13f7-409f-9159-76dee7dea46c,2026-11-25,331418.09,RUB,ООО Ромашка,Оплата по договору,40702810
9838db9b-9488-4998-b554-daeb55b700f3,2026-03-06,121860.09,RUB,ПАО Гамма,Аренда помещения,40702810
7657d5a7-3110-4e8a-9788-90805b747bcf,2026-04-30,-293232.9,RUB,АО Бета,Оплата по договору,40702810
f3690b37-f647-47b0-95a5-4fe7c755a9ee,2026-03-16,429217.22,RUB,ООО Дельта,Закупка материалов,40702810
80d59537-67a2-4497-9426-cba006de92c4,2026-01-14,-330562.72,RUB,ИП Петров,Услуги связи,40702810
8923cfdf-38fc-4e29-b38b-7083efafebe6,2026-05-16,-7988.96,RUB,ЗАО Сигма,Аренда помещения,40702810
d5950f85-9596-4fb5-9fd4-7a99338932c9,2026-07-05,238175.36,RUB,ИП Иванов,Возврат поставщику,40702810
0b71153f-54d2-4e57-8151-9e4dfc8d8433,2026-01-23,472713.28,RUB,ООО Дельта,Возврат поставщику,40702810
b6591a23-0f80-48e2-aeed-c259cf1f9735,2026-09-03,30506.62,RUB,ЗАО Сигма,Аренда помещения,40802810
b20fdde9-46d4-4fa5-be70-7b3b2ff1a07f,2026-08-16,-356229.42,RUB,ИП Иванов,Налоговый платёж,40702810
7c1cc576-275f-41e7-b933-381b2e45e2da,2026-05-21,32934.55,RUB,ИП Петров,Заработная плата,40702810
8670a116-3a9f-4135-80ff-01363934d227,2026-11-06,226912.34,RUB,ИП Иванов,Услуги связи,40802810
11c83835-f974-4d35-8ec8-48b067827cc0,2026-04-27,225832.3,RUB,ООР Омега,Заработная плата,40802810
c30f0cb7-2318-4a5f-a352-18d1d74fd4a7,2026-06-10,364833.29,RUB,ООО Дельта,Налоговый платёж,40702810
719f2cf5-0e7a-4e84-b5ef-1135df14d0c3,2026-08-31,-343441.84,RUB,ИП Иванов,Аренда помещения,40802810
9f6cb9a6-b2db-40f4-95f1-81ab729e2137,2026-07-10,48372.56,RUB,ООО Ромашка,Налоговый платёж,40702810
58300196-565a-4f26-a6b7-97e4ebe3ec15,2026-12-07,205463.24,RUB,ЗАО Сигма,Оплата по договору,40702810
0a8d3dbf-3aff-44d5-a330-670ec38cd48e,2026-06-30,-300245.0,RUB,ПАО Гамма,Закупка материалов,40802810
ee85ff66-12d9-4bfd-bd03-f6400f31e19d,2026-02-25,-112200.01,RUB,ИП Петров,Аренда помещения,40702810
bd3f648f-3e09-4f43-8873-74c66c27cd60,2026-08-08,287092.59,RUB,ООО Ромашка,Командировочные расходы,40702810
ce78fd76-4f13-4e77-8e34-b0223993ee89,2026-12-26,90289.99,RUB,ИП Петров,Налоговый платёж,40702810
92a47772-d683-405b-9bcd-6babf3ee618b,2026-03-15,90784.64,RUB,ЗАО Сигма,Аренда помещения,40702810
e8317a72-01e6-412a-8a9e-7690114b1366,2026-01-16,-370510.43,RUB,ПАО Гамма,Заработная плата,40802810
f7f4c71f-2b85-49a4-b5d9-6e4c25c9a1b7,2026-03-22,-226877.53,RUB,ИП Петров,Аренда помещения,40702810
6b59845b-50e8-4566-81d2-306048cc2b05,2026-11-13,-77874.39,RUB,ИП Иванов,Командировочные расходы,40802810
610c0aee-d84a-41ea-8b2e-ff8e46081374,2026-09-06,331003.15,RUB,ЗАО Сигма,Командировочные расходы,40702810
b753a1fd-823b-4928-878c-c7f8905a5d10,2026-02-28,-377496.08,RUB,ИП Иванов,Командировочные расходы,40802810
ef0e1d44-7348-49ed-9341-a3646d960c0b,2026-06-07,-263514.36,RUB,ЗАО Сигма,Оплата по договору,40702810
348973ac-1595-4eea-b912-8461728912b0,2026-04-19,102291.12,RUB,ООО Дельта,Командировочные расходы,40702810
f17f08cd-8ae8-442e-a0f7-f77665266bc2,2026-09-12,60080.17,RUB,АО Бета,Закупка материалов,40802810
f6142c3c-7ef7-4b8b-baf4-a9c48f4ff112,2026-04-28,266337.92,RUB,ИП Петров,Аренда помещения,40802810
2d0940af-a86e-4595-ab36-e0cbb66ab31e,2026-01-22,430896.0,RUB,ООР Омега,Аренда помещения,40702810
c498a1b6-9e6c-4c09-9be5-1ee8eff2c55d,2026-10-21,287922.0,RUB,ЗАО Сигма,Командировочные расходы,40702810
eaae588d-93e1-485a-809e-daaa72865d3e,2026-06-16,-202575.65,RUB,ООР Омега,Налоговый платёж,40702810
3e61030c-0051-4217-b323-fc5032be87d7,2026-02-24,-218412.22,RUB,ЗАО Сигма,Аренда помещения,40802810
81f462d4-cdcd-437a-9c1c-4146e8a2a9a0,2026-06-23,-435275.16,RUB,АО Бета,Аренда помещения,40702810
4e223a39-6c4b-458e-bd81-adbbe9c90b70,2026-04-10,265349.35,RUB,ИП Петров,Налоговый платёж,40702810
6f561255-7299-407f-8329-814cfe8f9f68,2026-03-16,-118210.8,RUB,АО Бета,Закупка материалов,40702810
58fb69cd-6fef-46a0-be2a-6faeb299246c,2026-11-18,88655.35,RUB,ООР Омега,Налоговый платёж,40702810
